id,id_str,screen_name,profile_img_url,text,media_url,type,datetime,sentiment
605,703992274418601984,MLHacks,http://pbs.twimg.com/profile_images/615648150238269440/jAu9gOk4_bigger.png,"Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 17:16:53.462366,2
606,703992491842744320,saj_jamal,http://pbs.twimg.com/profile_images/344513261582283041/0d59b63df83b2f7bb4451fbc55410ac3_bigger.jpeg,amazing! @codx you should take a look   #SkysTheLimit with open data https://t.co/W4qrZvueR7,,,2016-02-28 17:17:44.565984,4
607,703992556804251648,YosufAli_,http://pbs.twimg.com/profile_images/689765321905999872/xOb1v1t3_bigger.jpg,RT @MLHacks: Congratulations to GitC++ for winning the @GitHubEducation Best Developer Tool Prize at #HackLondon https://t.co/sA5vUgY4eJ,http://pbs.twimg.com/media/CcUOvNXW8AIzhbr.jpg,photo,2016-02-28 17:17:59.97726,9
608,703993054622040064,YosufAli_,http://pbs.twimg.com/profile_images/689765321905999872/xOb1v1t3_bigger.jpg,RT @syeefk: Virtual Flappy Bird! Use a Oculus Rift and Myo armbands to play Flappy Bird! Built at #HackLondon @MLHacks https://t.co/lZ5dCDH…,http://pbs.twimg.com/ext_tw_video_thumb/703969800410828802/pu/img/Zg3VzAViCE98gPme.jpg,photo,2016-02-28 17:19:58.606453,0
609,703993159672582145,jakerockland,http://pbs.twimg.com/profile_images/695286720263241728/4L6e8uvN_bigger.jpg,Real proud of my team for winning the Best Developer Tool award @ #HackLondon @hacklondonuk! Thanks @GitHubEducation https://t.co/OKVl2b65rb,http://pbs.twimg.com/media/CcUWDB0XIAAoZ_o.jpg,photo,2016-02-28 17:20:24.903948,14
610,703994449332822016,stefan__mendoza,http://pbs.twimg.com/profile_images/609536997619707907/kmnArWeC_bigger.jpg,RT @TobiasBueschel: 😍 visualisation of civilian #airtraffic data ✈ made by veniversum at #hacklondon https://t.co/LKsxgpj9lB https://t.co/G…,http://pbs.twimg.com/tweet_video_thumb/CcUPjBbXEAA7aUn.jpg,photo,2016-02-28 17:25:31.16424,0
611,703996156750262272,wilhelmklopp,http://pbs.twimg.com/profile_images/569165160716050432/NAbiVsg1_bigger.jpeg,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 17:32:18.211697,2
612,703997274423226368,JohannKlopp,http://pbs.twimg.com/profile_images/526427272996065280/KXilbEVl_bigger.png,"RT @MLHacks: Thank you so much for attending #HackLondon, it was truly a phenomenal hackathon! https://t.co/hlbU8gMaRk",http://pbs.twimg.com/media/CcUVOBmW8AA-agk.jpg,photo,2016-02-28 17:36:44.702746,2
613,703999510377271296,YosufAli_,http://pbs.twimg.com/profile_images/689765321905999872/xOb1v1t3_bigger.jpg,#HackLondon 2016 Closing Ceremony https://t.co/IlSVXCNRIv,http://pbs.twimg.com/media/CcUbxKSWwAAXz5Z.jpg,photo,2016-02-28 17:45:38.630889,0
614,704000073441611777,jna_sh,http://pbs.twimg.com/profile_images/668422692597538818/z3w4Ka43_bigger.jpg,Had such a great time at #HackLondon! Congrats to all the hackers and the @hacklondonuk team for their hard work! https://t.co/laSkckF4tN,http://pbs.twimg.com/media/CcUcTBJW0AEyBxM.jpg,photo,2016-02-28 17:47:52.802097,4
